,portfolio_value
2016-07-26,113458.95965833908
2016-07-27,113325.79155081208
2016-07-28,114101.9972739751
2016-07-29,113760.7901769416
2016-08-01,113092.12536673632
2016-08-02,113000.47925165415
2016-08-03,113117.40831187602
2016-08-04,113356.37948520525
2016-08-05,113102.57296721256
2016-08-08,113321.71447413879
2016-08-09,113256.0499360461
2016-08-10,113391.30384664706
2016-08-11,113255.82654138861
2016-08-12,113095.84934148367
2016-08-15,111525.45448490954
2016-08-16,111679.92247834097
2016-08-17,111451.4630249094
2016-08-18,110803.7702683405
2016-08-19,110889.56487732737
2016-08-22,110953.44519752335
2016-08-23,110577.5232326801
2016-08-24,110881.06272718104
2016-08-25,110261.88556167377
2016-08-26,110741.24370437556
2016-08-29,110476.48748666969
2016-08-30,110382.29303086892
2016-08-31,110610.86047684081
2016-09-01,111109.6021406116
2016-09-02,111789.77271516668
2016-09-06,112093.2983744821
2016-09-07,110973.45654435502
2016-09-08,108148.02095178768
2016-09-09,109983.87392973439
2016-09-12,109288.92169399314
2016-09-13,109919.15871912883
2016-09-14,111791.60821058047
2016-09-15,111424.43927076002
2016-09-16,111157.15786129248
2016-09-19,111137.46080390037
2016-09-20,112352.92551632943
2016-09-21,112974.72229277426
2016-09-22,111888.6794400101
2016-09-23,111161.37375282674
2016-09-26,112438.73736967589
2016-09-27,112794.64963033862
2016-09-28,112160.19659295397
2016-09-29,112784.80110164254
2016-09-30,112351.51735703896
2016-10-03,112168.63696235957
2016-10-04,112665.22777067371
2016-10-05,112918.44743917881
2016-10-06,112655.37924197766
2016-10-07,113430.5116619491
2016-10-10,112096.8952052747
2016-10-11,112164.41816393854
2016-10-12,111472.28207862168
2016-10-13,111989.97812983193
2016-10-14,111684.70807014544
2016-10-17,112413.42195351771
2016-10-18,112431.71085254542
2016-10-19,112190.02022668993
2016-10-20,112569.3420303008
2016-10-21,113905.27086282641
2016-10-24,113451.7074718356
2016-10-25,112926.25402004109
2016-10-26,112497.12397991169
2016-10-27,112275.38439928117
2016-10-28,112229.25295949564
2016-10-31,111309.70907966548
2016-11-01,110556.97310672923
2016-11-02,109558.62869481766
2016-11-03,109045.22408423171
2016-11-04,111885.85952062946
2016-11-07,112054.743836887
2016-11-08,115113.44407641723
2016-11-09,119377.8957299227
2016-11-10,119841.34963455237
2016-11-11,122582.06704923771
2016-11-14,122648.75523142186
2016-11-15,120911.6369600364
2016-11-16,122422.03169229656
2016-11-17,122525.39125205038
2016-11-18,122905.48539997364
2016-11-21,123032.24107323591
2016-11-22,123632.22207112667
2016-11-23,123936.73902609496
2016-11-25,122214.06614968751
2016-11-28,122503.95556883719
2016-11-29,124133.34805399473
2016-11-30,126192.5716654136
2016-12-01,125003.02820699736
2016-12-02,126152.82021222435
2016-12-05,127332.63512129607
2016-12-06,129301.62848870277
2016-12-07,130276.43301219835
2016-12-08,130577.34828824195
2016-12-09,129740.14019883724
2016-12-12,130304.39642690208
2016-12-13,128990.78696369994
2016-12-14,130199.0560209269
2016-12-15,129248.48468043027
2016-12-16,129309.87786212562
2016-12-19,130456.2890217828
2016-12-20,130161.61538682485
2016-12-21,130023.92707925239
2016-12-22,130174.701385273
2016-12-23,130279.29946158626
2016-12-27,129004.36272532106
2016-12-28,128695.17662974213
2016-12-29,128660.35379204541
2016-12-30,129824.04664918565
2017-01-03,130502.64655704533
2017-01-04,129651.77617631371
2017-01-05,129413.551441324
2017-01-06,128250.53029256455
2017-01-09,128537.02022890412
2017-01-10,129199.93066887163
2017-01-11,128545.39026535931
2017-01-12,128998.79983655513
2017-01-13,127090.58643034834
2017-01-17,127535.89067834774
2017-01-18,127099.59498071442
2017-01-19,127704.43195540337
2017-01-20,127489.96522787555
2017-01-23,127505.30196769217
2017-01-24,128551.57028674948
2017-01-25,128805.04697105284
2017-01-26,128643.20493647903
2017-01-27,127739.40591292408
2017-01-30,127282.47205408743
2017-01-31,127071.73664876152
2017-02-01,126459.77487843527
2017-02-02,127588.28369807142
2017-02-03,127161.18666107745
2017-02-06,127032.92873343335
2017-02-07,127126.09234508692
2017-02-08,127613.28386573606
2017-02-09,128033.30807909372
2017-02-10,128361.62529395349
2017-02-13,128737.21739917454
2017-02-14,129191.57471013283
2017-02-15,129261.44032118097
2017-02-16,129502.81597436084
2017-02-17,130305.40687664838
2017-02-21,130355.32364182225
2017-02-22,130682.07962944888
2017-02-23,130813.46553819724
2017-02-24,130855.32336584126
2017-02-27,130821.89664136214
2017-02-28,131852.9923403716
2017-03-01,131486.36009572778
2017-03-02,131581.16181064345
2017-03-03,131213.28851488637
2017-03-06,130980.73019342753
2017-03-07,130742.64815474869
2017-03-08,130955.11442837949
2017-03-09,131589.60119251156
2017-03-10,131597.80870269565
2017-03-13,131288.36704617145
2017-03-14,132559.09836494678
2017-03-15,132166.04265760633
2017-03-16,132070.3607099779
2017-03-17,131991.8563168176
2017-03-20,130922.98360046331
2017-03-21,131454.4732712673
2017-03-22,131053.07174493419
2017-03-23,131140.5416191943
2017-03-24,131110.07913470195
2017-03-27,131665.51860725335
2017-03-28,131772.93875445507
2017-03-29,131722.69003267272
2017-03-30,131664.14417558388
2017-03-31,131467.62990715538
2017-04-03,131541.78142399527
2017-04-04,131417.9453856547
2017-04-05,131344.6639747705
2017-04-06,131186.05050728473
2017-04-07,131228.5703549983
2017-04-10,130996.65034223498
2017-04-11,131037.87673803078
2017-04-12,130578.19163486481
2017-04-13,131424.6034782358
2017-04-17,131321.63089328012
2017-04-18,130976.71650642421
2017-04-19,131408.37882711994
2017-04-20,131309.07345994803
2017-04-21,132360.70586864767
2017-04-24,132726.41730119943
2017-04-25,132452.00224975476
2017-04-26,132911.41255488357
2017-04-27,132873.4285196521
2017-04-28,133215.69688278314
2017-05-01,133496.37215193652
2017-05-02,133101.28063921668
2017-05-03,133206.74816745895
2017-05-04,133532.09727558907
2017-05-05,133707.6516998065
2017-05-08,133560.3817295466
2017-05-09,133840.7265614824
2017-05-10,133620.93688206232
2017-05-11,134073.68213594385
2017-05-12,134748.07690973522
2017-05-15,134918.06344836074
2017-05-16,132084.3705217026
2017-05-17,132763.34999149927
2017-05-18,133353.5867666589
2017-05-19,134608.093476154
2017-05-22,134776.11415228288
2017-05-23,135480.47800734526
2017-05-24,136504.25376062002
2017-05-25,136424.7979797673
2017-05-26,136847.9526647272
2017-05-30,136777.96882036963
2017-05-31,137454.11010550646
2017-06-01,138176.86910195
2017-06-02,137975.08526331536
2017-06-05,137614.09063519436
2017-06-06,137963.9531384104
2017-06-07,137817.5121356454
2017-06-08,136061.98114633278
2017-06-09,135809.96414788035
2017-06-12,136272.30619783365
2017-06-13,136557.50095353473
2017-06-14,136655.6086133688
2017-06-15,136701.64738706397
2017-06-16,137229.85999104026
2017-06-19,136964.47456176998
2017-06-20,137269.4463970128
2017-06-21,137733.8969098759
2017-06-22,137708.3718011577
2017-06-23,137760.92417726517
2017-06-26,136644.2989095521
2017-06-27,136851.17018361864
2017-06-28,135999.4729462951
